year,round,Team,Driver,Compound
2018,4,McLaren,ALO,"['SOFT', 'ULTRASOFT']"
2018,4,McLaren,VAN,"['SUPERSOFT', 'SOFT', 'ULTRASOFT', 'ULTRASOFT', 'ULTRASOFT']"
2018,4,Mercedes,BOT,"['SUPERSOFT', 'ULTRASOFT']"
2018,4,Mercedes,HAM,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,4,Red Bull Racing,RIC,"['SUPERSOFT', 'ULTRASOFT']"
2018,4,Red Bull Racing,VER,"['SUPERSOFT', 'ULTRASOFT']"
2018,4,Renault,HUL,['ULTRASOFT']
2018,4,Renault,SAI,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,4,Sauber,ERI,"['SOFT', 'ULTRASOFT', 'ULTRASOFT', 'ULTRASOFT']"
2018,4,Sauber,LEC,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,4,Toro Rosso,GAS,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,4,Toro Rosso,HAR,"['ULTRASOFT', 'SUPERSOFT', 'ULTRASOFT']"
2018,4,Williams,SIR,['SUPERSOFT']
2018,4,Williams,STR,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,5,Ferrari,RAI,['SOFT']
2018,5,Ferrari,VET,"['SOFT', 'MEDIUM', 'MEDIUM']"
2018,5,Force India,OCO,"['SOFT', 'MEDIUM']"
2018,5,Force India,PER,"['SOFT', 'MEDIUM', 'SOFT']"
2018,5,Haas F1 Team,GRO,['SOFT']
2018,5,Haas F1 Team,MAG,"['SOFT', 'MEDIUM']"
2018,5,McLaren,ALO,"['SUPERSOFT', 'MEDIUM']"
2018,5,McLaren,VAN,"['SOFT', 'MEDIUM']"
2018,5,Mercedes,BOT,"['SOFT', 'MEDIUM']"
2018,5,Mercedes,HAM,"['SOFT', 'MEDIUM']"
2018,5,Red Bull Racing,RIC,"['SOFT', 'MEDIUM']"
2018,5,Red Bull Racing,VER,"['SOFT', 'MEDIUM']"
2018,5,Renault,HUL,['SOFT']
2018,5,Renault,SAI,"['SOFT', 'MEDIUM']"
2018,5,Sauber,ERI,"['MEDIUM', 'SOFT']"
2018,5,Sauber,LEC,"['SOFT', 'MEDIUM']"
2018,5,Toro Rosso,GAS,['SOFT']
2018,5,Toro Rosso,HAR,"['MEDIUM', 'SOFT', 'MEDIUM']"
2018,5,Williams,SIR,"['MEDIUM', 'SOFT', 'MEDIUM', 'SUPERSOFT', 'SUPERSOFT']"
2018,5,Williams,STR,"['SOFT', 'MEDIUM']"
2018,6,Ferrari,RAI,"['HYPERSOFT', 'ULTRASOFT']"
2018,6,Ferrari,VET,"['HYPERSOFT', 'ULTRASOFT']"
2018,6,Force India,OCO,"['HYPERSOFT', 'SUPERSOFT']"
2018,6,Force India,PER,"['HYPERSOFT', 'SUPERSOFT']"
2018,6,Haas F1 Team,GRO,"['ULTRASOFT', 'SUPERSOFT', 'HYPERSOFT']"
2018,6,Haas F1 Team,MAG,"['ULTRASOFT', 'SUPERSOFT']"
2018,6,McLaren,ALO,"['HYPERSOFT', 'SUPERSOFT']"
2018,6,McLaren,VAN,"['ULTRASOFT', 'SUPERSOFT', 'HYPERSOFT']"
2018,6,Mercedes,BOT,"['HYPERSOFT', 'SUPERSOFT']"
2018,6,Mercedes,HAM,"['HYPERSOFT', 'ULTRASOFT']"
2018,6,Red Bull Racing,RIC,"['HYPERSOFT', 'ULTRASOFT']"
2018,6,Red Bull Racing,VER,"['ULTRASOFT', 'HYPERSOFT']"
2018,6,Renault,HUL,"['ULTRASOFT', 'HYPERSOFT']"
2018,6,Renault,SAI,"['HYPERSOFT', 'ULTRASOFT']"
2018,6,Sauber,ERI,"['ULTRASOFT', 'SUPERSOFT']"
2018,6,Sauber,LEC,"['ULTRASOFT', 'SUPERSOFT']"
2018,6,Toro Rosso,GAS,"['HYPERSOFT', 'SUPERSOFT']"
2018,6,Toro Rosso,HAR,"['HYPERSOFT', 'ULTRASOFT']"
2018,6,Williams,SIR,"['HYPERSOFT', 'HYPERSOFT', 'ULTRASOFT', 'SUPERSOFT']"
2018,6,Williams,STR,"['ULTRASOFT', 'SUPERSOFT', 'HYPERSOFT', 'HYPERSOFT']"
2018,7,Ferrari,RAI,"['ULTRASOFT', 'SUPERSOFT']"
2018,7,Ferrari,VET,"['ULTRASOFT', 'SUPERSOFT']"
2018,7,Force India,OCO,"['HYPERSOFT', 'SUPERSOFT']"
2018,7,Force India,PER,"['HYPERSOFT', 'SUPERSOFT', 'SUPERSOFT']"
2018,7,Haas F1 Team,GRO,"['ULTRASOFT', 'SUPERSOFT']"
2018,7,Haas F1 Team,MAG,"['ULTRASOFT', 'SUPERSOFT']"
2018,7,McLaren,ALO,"['ULTRASOFT', 'SUPERSOFT', 'SUPERSOFT']"
2018,7,McLaren,VAN,"['SUPERSOFT', 'HYPERSOFT']"
2018,7,Mercedes,BOT,"['ULTRASOFT', 'SUPERSOFT']"
2018,7,Mercedes,HAM,"['ULTRASOFT', 'SUPERSOFT']"
2018,7,Red Bull Racing,RIC,"['HYPERSOFT', 'SUPERSOFT']"
2018,7,Red Bull Racing,VER,"['HYPERSOFT', 'SUPERSOFT']"
2018,7,Renault,HUL,"['HYPERSOFT', 'SUPERSOFT']"
2018,7,Renault,SAI,"['HYPERSOFT', 'SUPERSOFT']"
2018,7,Sauber,ERI,['SUPERSOFT']
2018,7,Sauber,LEC,"['ULTRASOFT', 'SUPERSOFT']"
2018,7,Toro Rosso,GAS,"['HYPERSOFT', 'SUPERSOFT']"
2018,7,Toro Rosso,HAR,['HYPERSOFT']
2018,7,Williams,SIR,"['SUPERSOFT', 'ULTRASOFT']"
2018,7,Williams,STR,['ULTRASOFT']
2018,8,Ferrari,RAI,"['ULTRASOFT', 'SUPERSOFT']"
2018,8,Ferrari,VET,"['SOFT', 'ULTRASOFT']"
2018,8,Force India,OCO,['ULTRASOFT']
2018,8,Force India,PER,['SOFT']
2018,8,Haas F1 Team,GRO,"['ULTRASOFT', 'SOFT', 'SUPERSOFT']"
2018,8,Haas F1 Team,MAG,"['ULTRASOFT', 'SOFT']"
2018,8,McLaren,ALO,"['SOFT', 'ULTRASOFT']"
2018,8,McLaren,VAN,"['SUPERSOFT', 'ULTRASOFT']"
2018,8,Mercedes,BOT,"['SOFT', 'SUPERSOFT']"
2018,8,Mercedes,HAM,"['SUPERSOFT', 'SOFT']"
2018,8,Red Bull Racing,RIC,"['SUPERSOFT', 'SOFT']"
2018,8,Red Bull Racing,VER,"['SUPERSOFT', 'SOFT']"
2018,8,Renault,HUL,"['SOFT', 'ULTRASOFT']"
