raceId,race,year,round,accident,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
989,Australian Grand Prix,2018,1,0,24.077477477477483,30.91531531531532,997.0036036036036,True,36.32432432432432,3.691891891891892
990,Bahrain Grand Prix,2018,2,0,27.982524271844653,47.36310679611651,1009.4941747572816,False,32.19805825242719,0.9582524271844662
991,Chinese Grand Prix,2018,3,1,19.446428571428573,24.089285714285715,1018.13125,True,37.01964285714286,1.8375
992,Azerbaijan Grand Prix,2018,4,6,16.66140350877193,45.651754385964914,1021.9131578947369,False,25.25175438596491,2.22280701754386
993,Spanish Grand Prix,2018,5,3,16.050476190476193,52.28666666666667,1001.5419047619048,True,32.33904761904761,1.9523809523809523
994,Monaco Grand Prix,2018,6,2,26.640707964601766,50.89292035398231,1015.2106194690268,True,34.60973451327434,1.382300884955752
995,Canadian Grand Prix,2018,7,2,20.52358490566038,27.82547169811321,1017.5150943396228,False,36.94905660377359,2.471698113207547
996,French Grand Prix,2018,8,2,24.546078431372557,49.049019607843135,966.2598039215684,True,42.03333333333334,1.815686274509804
997,Austrian Grand Prix,2018,9,1,23.176086956521743,37.141304347826086,936.1097826086956,False,45.87934782608695,2.4847826086956526
998,British Grand Prix,2018,10,3,27.43163265306122,38.73979591836735,1008.3040816326528,False,52.16938775510204,1.4612244897959183
999,German Grand Prix,2018,11,1,26.40192307692308,54.80769230769231,1001.4,True,40.66826923076923,2.0086538461538463
1000,Hungarian Grand Prix,2018,12,0,33.75887850467289,33.00654205607477,983.5271028037382,False,51.08971962616822,1.1429906542056074
1001,Belgian Grand Prix,2018,13,3,17.327358490566038,37.700943396226414,966.9103773584906,False,27.89811320754717,2.039622641509434
1002,Italian Grand Prix,2018,14,0,22.189898989898992,63.8070707070707,995.219191919192,True,30.822222222222223,2.1242424242424245
1003,Singapore Grand Prix,2018,15,1,29.86541353383459,66.03609022556391,1007.8112781954889,False,33.12406015037594,1.978947368421053
1004,Russian Grand Prix,2018,16,0,24.778181818181817,61.30818181818182,1016.5336363636364,True,29.945454545454545,1.997272727272727
1005,Japanese Grand Prix,2018,17,1,28.26481481481482,50.51574074074074,1008.1925925925926,False,37.17037037037037,1.7916666666666667
1006,United States Grand Prix,2018,18,3,21.93358778625954,37.555725190839695,1005.9,False,30.486259541984733,2.090839694656488
1007,Mexican Grand Prix,2018,19,0,20.1231884057971,50.70942028985507,784.1927536231884,False,34.47028985507246,1.5594202898550724
1008,Brazilian Grand Prix,2018,20,1,23.7696,75.4128,923.9296,False,40.0688,2.1872000000000003
1009,Abu Dhabi Grand Prix,2018,21,1,31.273722627737225,45.43795620437956,1013.1116788321168,True,33.31824817518248,2.1635036496350364
1010,Australian Grand Prix,2019,1,0,23.47786885245901,70.4532786885246,1015.3344262295084,False,41.31311475409837,1.166393442622951
1011,Bahrain Grand Prix,2019,2,1,26.21085271317829,53.372093023255815,1003.4372093023256,False,28.610852713178296,2.7108527131782947
1012,Chinese Grand Prix,2019,3,2,19.32992125984252,45.98110236220473,1019.2181102362204,False,27.33700787401575,3.3157480314960632
1013,Azerbaijan Grand Prix,2019,4,2,19.76356589147287,51.40852713178294,1013.7751937984495,False,39.65426356589147,1.2496124031007751
1014,Spanish Grand Prix,2019,5,2,20.147727272727277,54.724242424242426,1006.7916666666666,False,40.72727272727273,1.9295454545454545
1015,Monaco Grand Prix,2019,6,1,22.7546762589928,52.69784172661871,1010.9107913669066,True,32.72949640287769,0.9035971223021584
1016,Canadian Grand Prix,2019,7,1,29.368253968253967,16.14761904761905,1022.1111111111112,False,51.098412698412695,1.3087301587301583
1017,French Grand Prix,2019,8,0,26.89421487603306,39.09090909090909,966.7239669421492,False,54.525619834710746,1.6785123966942148
1018,Austrian Grand Prix,2019,9,0,34.44406779661016,17.965254237288136,940.8889830508476,False,50.74406779661018,1.225423728813559
1019,British Grand Prix,2019,10,3,18.90508474576272,62.135593220338976,1006.3330508474576,False,30.32203389830509,2.011864406779661
1020,German Grand Prix,2019,11,5,21.503401360544217,87.83061224489796,991.6278911564624,True,26.441496598639453,1.006122448979592
1021,Hungarian Grand Prix,2019,12,0,25.66,33.893076923076926,986.4846153846154,False,44.09692307692308,1.1938461538461538
1022,Belgian Grand Prix,2019,13,2,17.4,57.03,968.2575,False,28.119166666666665,2.0358333333333336
1023,Italian Grand Prix,2019,14,0,21.0972972972973,51.57477477477477,989.2405405405406,False,33.04054054054055,1.5666666666666669
1024,Singapore Grand Prix,2019,15,2,29.965161290322584,66.45548387096774,1010.941935483871,False,35.752903225806456,1.8574193548387092
1025,Russian Grand Prix,2019,16,2,22.02977099236641,67.41526717557252,1016.7824427480916,True,34.33206106870229,1.8740458015267176
1026,Japanese Grand Prix,2019,17,0,21.619354838709675,57.47822580645161,1009.141935483871,False,32.18387096774193,5.468548387096775
1027,Mexican Grand Prix,2019,18,0,23.203030303030303,46.28787878787879,780.509090909091,False,41.633333333333326,1.3265151515151512
1028,United States Grand Prix,2019,19,0,21.47557251908397,29.242748091603048,1001.4763358778628,False,29.08167938931297,2.553435114503817
1029,Brazilian Grand Prix,2019,20,2,21.016793893129773,60.28931297709924,924.7916030534352,False,46.45343511450381,1.287786259541985
1030,Abu Dhabi Grand Prix,2019,21,0,26.018045112781955,64.47142857142858,1015.3834586466164,False,29.566165413533835,1.2646616541353384
1031,Austrian Grand Prix,2020,1,0,28.684166666666663,33.8325,938.7708333333334,False,52.025,1.8875
1032,Styrian Grand Prix,2020,2,2,20.8225,34.005,945.91,True,39.92,2.228333333333333
